序號,工程名稱,事業單位名稱,停工日期,復工或復工審查日期,停工範圍,停工原因
1,（109拆106）大業路390號拆除工程,遠碩營造股份有限公司,1100504,1100517,外牆施工架,外牆施工架開口無防護、未設安全上下設備
2,（108建170）大華榮芯新建工程,旺邦營造股份有限公司,1100504,1100507,全區外牆施工架,於高差2公尺以上之工作場所邊緣及開口部分，未設置符合規定之護欄、護蓋、安全網或配掛安全帶之防墜設施。
3,（106建221）大同區圓環段一小段0221-0000號共17筆地號集合住宅新建工程,華熊營造股份有限公司,1100505,1100513,陽台周圍（14樓至15樓）,未設防墜設施
4,大理街-接待中心工程案,吳思瑩（即日誠企業社）,1100507,1100513,全區施工架,全區施工架未防護
5,（106建160）華造三世新建工程,信升昌營造股份有限公司,1100511,1100517,外牆施工架,外牆施工架開口無防護
6,（103建278）和典建設吉林段一小段新建工程,地樺營造事業股份有限公司,1100511,1100517,全區外牆施工架,於高差2公尺以上之工作場所邊緣及開口部分，未設置符合規定之護欄、護蓋、安全網或配掛安全帶之防墜設施。
7,永明區民活動中心大樓建築物耐震補強工程,台灣三菱營造股份有限公司,1100512,1100519,外牆施工架、1樓臨時分電盤,外牆施工架開口無防護、1樓臨時分電盤未設漏電斷路器
8,永明區民活動中心大樓建築物耐震補強工程,拓緯工程顧問有限公司,1100512,1100519,外牆施工架,外牆施工架開口無防護
9,（107建016）壕華建設股份有限公司新建工程,嘉大營造股份有限公司,1100515,1100520,全區外牆施工架,全區外牆施工架未防護
10,（107建148）濟盟東新街新建工程,嘉泰營造股份有限公司,1100604,1100608,B棟2樓至5樓陽臺，露梁,僱用勞工於B棟2樓至5樓陽臺，露梁從事營建施工管理等作業，高度2公尺以上開口未設置護欄、安全網等防護設備。
11,（106建216）森美新建工程,暘昌營造股份有限公司,1100617,1100621,中庭景觀區,僱用勞工於中庭景觀區從事營建施工管理等作業，高度2公尺以上開口部分未設置護欄、護蓋、安全網等防護設備。
12,私立三軍幼兒園中庭採光罩整修工程,定強工程有限公司,1100619,1100702,中庭採光罩,使勞工於易踏穿材料構築之屋頂作業時，未規劃安全通道，於屋架上設置適當強度，且寬度在三十公分以上之踏板，並於下方適當範圍裝設堅固格柵或安全網等防墜設施、高差超過1.5公尺以上之場所作業，未設置符合規定之安全上下設備。
13,（108建117）1樹巷新建工程,新豪營造股份有限公司,1100629,1100706,外牆施工架,外牆施工架開口無防護
14,（107建118）內湖區石潭段三小段493號等八筆土地新建工程,詳益營造工程股份有限公司,1100630,1100702,A、B棟外牆施工架,僱用勞工於A、B棟外牆施工架從事營建施工管理等作業，高度2公尺以上開口未設置護欄、護蓋、安全網等防護設備。
15,（110拆016）寶豐隆敦南大樓舊有建築物拆除工程,三井工程股份有限公司,1100705,1100712,外牆施工架、屋頂分電盤,外牆施工架開口無防護、屋頂分電盤未設漏電斷路器
16,（108建009）光復南路集合住宅新建工程,富瑄營造股份有限公司,1100708,1100713,1樓至8樓鋼構、1樓樓板邊緣及大門口前,未設防墜設施
17,舍香永陞石牌案銷售中心搭建工程,聖高工程有限公司,1100708,1100713,外牆施工架,僱用勞工於外牆施工架從事營建施工管理等作業，高度2公尺以上開口未設置護欄、安全網等防護設備。
18,停車場地坪標線油漆作業,藍金樹（即湧泉工程行）,1100712,,臺北市中正區忠孝東路1段55號地下室1樓及地下室2樓。,事業單位於通風不充分之室內作業場所使用含甲苯之有機溶劑作業，未設有密閉設備、局部排氣裝置或整體換氣裝置之儲槽等之作業場所，未供給作業勞工輸氣管面罩，並使其確實佩戴使用。
19,（107雜027）（107建242）廣慈博愛園區整體開發計畫公共住宅第C標統包工程,雙喜營造股份有限公司,1100712,1100719,地下3樓電梯井,僱用勞工於地下3樓電梯井從事營建施工管理等作業，高度2公尺以上開口未設置護欄、安全網等防護設備。
20,（107雜027）（107建242）廣慈博愛園區整體開發計畫公共住宅第C標統包工程,孫文郁建築師事務所,1100712,1100719,地下3樓電梯井,僱用勞工於地下3樓電梯井從事監造管理等作業，高度2公尺以上開口未設置護欄、安全網等防護設備。
21,（107建020）新碩華悅新建工程,遠碩營造股份有限公司,1100714,1100810,地上樓層。,發生勞工墜落死亡職業災害。
22,（108建031）臺北市興隆公共住宅二期E基地新建工程,新亞建設開發股份有限公司,1100717,1100723,全區施工架,全區施工架無防護。
23,（107建243）臺北市興隆公共住宅二期A基地新建工程,新亞建設開發股份有限公司,1100717,1100723,全區施工架,全區施工架無防護。
24,（108建079）臺北市內湖區河濱高中基地公共住宅統包工程,中華工程股份有限公司,1100719,1100726,外牆、1樓室內及挑空區施工架。,外牆、1樓室內及挑空區施工架未有防護。
25,（107建185）延平段住宅新建工程,瓏山林營建股份有限公司,1100727,1100729,西側2樓以上外牆施工架,西側2樓以上外牆施工架高度2公尺以上開口未防護。
26,虎林街70巷37號4樓室內裝修工程,廣隆室內裝修有限公司,1100728,1100802,外牆鋁框花台。,外牆鋁框花台作業未有防護。
27,（109建116）大同區大同段522等4筆地號新建工程,興澤營造股份有限公司,1100731,1100803,地下1樓樓板,僱用勞工於地下1樓樓板從事營建施工管理等作業，高度2公尺以上開口未設置護欄、護蓋、安全網等防護設備。
28,（106建080）國立台灣大學醫學院附設癌醫中心醫院「輻射科學暨質子治療中心」新建工程,日商清水營造工程股份有限公司台灣分公司,1100731,1100804,外牆施工架,外牆施工架開口無防護。
29,（108建062）台北市大同區西寧北路86巷8號修建工程,億成營造有限公司,1100804,1100809,2樓以上施工架,2樓以上施工架2公尺以上開口未防護。
30,（109建168）大安區信義路3段147巷47號增建工程,安固營造工程股份有限公司,1100804,1100809,外牆施工架,外牆施工架開口無防護
31,（104建199）方原開發北投區立農段集合住宅新建工程,福益營造股份有限公司,1100805,1100809,外牆施工架,僱用勞工於外牆施工架從事營建施工管理等作業，高度2公尺以上開口未設置護欄、安全網等防護設備。
32,（106建041）臺北市萬華區莒光段公共住宅新建工程,世鑫營造有限公司,1100809,1100810,全區外牆施工架,僱用勞工於全區外牆施工架從事拆架等作業，高度2公尺以上開口未設置護欄、護蓋、安全網等防護設備。
33,（108建130）臺北市殯葬管理處第二殯儀館二期整建工程,楊瑞禎聯合建築師事務所,1100812,1100816,地下2樓,地下2樓板開口無防護。
34,（108建130）臺北市殯葬管理處第二殯儀館二期整建工程,應州工程有限公司,1100812,1100816,地下2樓,地下2樓板開口無防護。
35,（107建095）臺北市大安區辛亥段四小段辦公大樓新建工程,龍進營造有限公司,1100817,1100820,棄土坑,棄土坑未設安全上下設備、未設擋土支撐
36,光復南路485號樣品屋裝修工程,永鉅國際室內裝修設計有限公司,1100818,1100908,外牆施工架,外牆施工架開口未設置護欄、護蓋及安全網等防護設備。
37,（109拆096）拆除工程,田鼎營造股份有限公司,1100819,1101004,全區外牆施工架,全區外牆施工架未防護
38,（108建186）建成綜合大樓改建工程,勁強營造有限公司,1100821,1100823,10樓板（東南側）,10樓板（東南側）2公尺以上開口未防護。
39,（108建186）建成綜合大樓改建工程,蔡孟哲建築師事務所,1100821,1100823,10樓板（東南側）,10樓板（東南側）2公尺以上開口未防護。
40,（108建079）臺北市內湖區河濱高中基地公共住宅統包工程,中華工程股份有限公司,1100821,1100824,B棟1~3樓外牆及6樓挑空區施工架。,B棟1~3樓外牆及6樓挑空區施工架未有防護。
41,（109建257）僑馥建經房屋拆併建工程,萬堡營造股份有限公司,1100824,1100907,外牆竹架（全區）,未設置防墜措施、未設置安全上下設備。
42,（107建085）臺北市萬華區青年公共住宅二期統包工程,偉銓營造有限公司,1100827,1100830,A棟南側客梯、B棟南側客梯,僱用勞工於A棟南側客梯、B棟南側客梯從事營建施工管理等作業，高度2公尺以上開口未設置護欄、護蓋、安全網等防護設備。
43,（108建113）東亞經建榮星段集合住宅大樓新建工程,華熊營造股份有限公司,1100827,1100901,15樓至屋突2樓。,15樓至屋突2樓未防護。
44,（107建137）美邦開發建設中正區中正段二小段集合住宅新建工程,金盟營造有限公司,1100828,1100903,全區外牆施工架,於高差2公尺以上之工作場所邊緣及開口部分，未設置符合規定之護欄、護蓋、安全網或配掛安全帶之防墜設施。
