序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,捷運信義線東延段及新莊機廠號誌系統工程採購案,臺北市政府捷運工程局機電系統工程處,585000,法商阿爾斯通運輸股份有限公司,臺北市政府捷運工程局機電系統工程處系統第四工務所,法商阿爾斯通運輸股份有限公司,無,1130711,不預先通知,83,0,0,0,查核
2,雨水下水道結構修補工程（景美等3集水區）,臺北市政府工務局水利工程處,43980,威旭工程顧問有限公司,開巨技術顧問有限公司,巨圓營造有限公司,無,1130716,不預先通知,83,0,0,0,查核
3,111-113年度士林市場地下一樓美食共食區整修工程,臺北市市場處,34160,林彥忠建築師事務所,林彥忠建築師事務所,富陽營造工程有限公司,無,1130716,不預先通知,82,0,0,0,查核
4,112年度花卉試驗中心所轄公園整建工程-內湖區土木設施維護預約工程（113年續約）,臺北市政府工務局公園路燈工程管理處,19944,和建工程顧問股份有限公司,和建工程顧問股份有限公司,築信營造有限公司,無,1130717,不預先通知,83,0,0,0,查核
5,木柵段動力變電站22kV開關盤重置工程,臺北大眾捷運股份有限公司,36698,臺北大眾捷運股份有限公司系統處供電廠,臺北大眾捷運股份有限公司系統處供電廠,宏于電機股份有限公司,無,1130717,不預先通知,82,0,0,0,查核
6,臺北市立大安高級工業職業學校新建綜合教學大樓工程,臺北市政府工務局新建工程處,577500,黃翔龍建築師事務所,黃翔龍建築師事務所,"日富營造股份有限公司
九建工程股份有限公司",無,1130718,不預先通知,81,0,0,0,查核
7,113年度標誌及安全設施檢修工程,臺北市交通管制工程處,6450,臺北市交通管制工程處,臺北市交通管制工程處,恒同有限公司,無,1130718,不預先通知,81,0,0,0,查核
8,112年度寬度8公尺以下道路更新及附屬設施改善工程開口契約(第3標)(中正、萬華區),臺北市政府工務局新建工程處,42240,臺北市政府工務局新建工程處養護工程隊第三分隊,盛禹工程顧問有限公司,興成營造有限公司,無,1130723,不預先通知,85,0,0,0,查核
9,113年度本市公園、綠地、廣場排水改善預約工程,臺北市政府工務局公園路燈工程管理處,12186,"鴻宥工程技術顧問有限公司
惇陽工程顧問有限公司
城拓工程顧問有限公司
昱林設計顧問有限公司","鴻宥工程技術顧問有限公司
惇陽工程顧問有限公司
城拓工程顧問有限公司
昱林設計顧問有限公司",登煌營造有限公司,無,1130726,不預先通知,84,0,0,0,查核
10,113年度臺北市山坡地溪溝更新預約式工程(北區),臺北市政府工務局大地工程處,17420,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,郁東營造有限公司,無,1130726,不預先通知,82,0,0,0,查核
11,臺北市第2期污水下水道主、次幹管管渠延壽統包工程(第二標),臺北市政府工務局衛生下水道工程處,45531,"尚揚工程顧問有限公司
鎧德工程顧問股份有限公司",晨星工程技術顧問有限公司,品昱營造工程股份有限公司,無,1130729,不預先通知,86,0,0,0,查核
12,112年度臺北市山區道路預約式維護工程（大安及文山區）（113年續約）,臺北市政府工務局大地工程處,30807,開巨技術顧問有限公司,開巨技術顧問有限公司,益廣營造有限公司,無,1130729,不預先通知,82,0,0,0,查核
13,學校運動操場、綜合球場等設施整建工程,臺北市立百齡高級中學,23860,陳俊宏建築師事務所,陳俊宏建築師事務所,艾伯索工程有限公司,無,1130730,不預先通知,81,0,0,0,查核
14,113年度轄管運動場館（地）設施設備修繕預約維護工程,臺北市政府體育局,36966,顏明南建築師事務所,顏明南建築師事務所,旭邦營造股份有限公司,無,1130807,不預先通知,81,0,0,0,查核
15,舊貴子坑溪下游環境暨排水改善工程,臺北市政府工務局水利工程處,27474,開巨技術顧問有限公司,開巨技術顧問有限公司,上溢營造股份有限公司,無,1130808,不預先通知,86,0,0,0,複查
16,113東區A管線配合工程,臺北自來水事業處,22303,臺北自來水事業處,臺北自來水事業處東區營業分處,鎮沅有限公司,無,1130808,不預先通知,83,0,0,0,查核
17,113年度臺北市山坡地邊坡(南區)暨農業環境維護預約式工程,臺北市政府工務局大地工程處,36000,麒昌工程顧問股份有限公司,麒昌工程顧問股份有限公司,曜鼎營造有限公司,無,1130812,不預先通知,83,0,0,0,查核
18,總館館舍地震災損修復改善工程,臺北市立圖書館,7450,陳澤修建築師事務所(新北市),陳澤修建築師事務所(新北市),百輝營造有限公司,無,1130814,不預先通知,80,0,0,0,查核
19,大龍抽水站擴建站新建工程,臺北市政府工務局水利工程處,446000,中興工程顧問股份有限公司,盛禹工程顧問有限公司,安倉營造股份有限公司,無,1130819,不預先通知,81,0,0,0,查核
20,牛稠坑溪下游整體環境營造工程,臺北市政府工務局大地工程處,12332,開巨技術顧問有限公司,開巨技術顧問有限公司,台正營造有限公司,無,1130820,不預先通知,86,0,0,0,查核
21,綜合大樓北側外牆整修工程(第1期),臺北市立松山高級商業家事職業學校,6200,李柏毅建築師事務所,李柏毅建築師事務所,宇瑭營造工程有限公司,無,1130821,不預先通知,81,0,0,0,查核
22,112年度青年公園管理所所轄公園整建工程-?安區土木設施維護預約工程（113年續約）,臺北市政府工務局公園路燈工程管理處,15953,昱林設計顧問有限公司,昱林設計顧問有限公司,百吉營造有限公司,無,1130821,不預先通知,82,0,0,0,查核
23,北士科周邊景觀廊道建置工程,臺北市政府工務局公園路燈工程管理處,11420,豫青設計有限公司,豫青設計有限公司,竺園景觀設計有限公司,無,1130822,不預先通知,84,0,0,0,查核
24,113年度博愛校區音樂館演奏廳整建工程,臺北市立大學,20370,典石聯合建築師事務所,典石聯合建築師事務所,歐亞室內裝修工程有限公司,無,1130823,不預先通知,81,0,0,0,查核
25,112年度一般道路更新工程開口契約(第2標)(松山、信義區),臺北市政府工務局新建工程處,77000,亞柏技術顧問股份有限公司,安笙工程顧問有限公司,瑞健營造有限公司,無,1130823,不預先通知,84,0,0,0,查核
26,113年南區污水管渠配合拆遷及後巷美化預約式工程,臺北市政府工務局衛生下水道工程處工務科南區工務所,32000,臺北市政府工務局衛生下水道工程處維護工程科,鎧德工程顧問股份有限公司,萬碁工程有限公司,無,1130826,不預先通知,82,0,0,0,查核
27,113年度松德院區護理之家擴床整修工程,臺北市立聯合醫院,24930,張從仁建築師事務所,張從仁建築師事務所,靖誠工程有限公司,無,1130828,不預先通知,83,0,0,0,查核
28,113年度山坡地住宅邊坡及老舊聚落預約式維護工程,臺北市政府工務局大地工程處,18180,長碩工程顧問有限公司,長碩工程顧問有限公司,富士山營造有限公司,無,1130911,不預先通知,85,0,0,0,查核
29,臺北市立圖書館康寧分館合署大樓新建工程,臺北市政府捷運工程局第一區工程處,495840,黃長美建築師事務所,黃長美建築師事務所,菁木營造有限公司,無,1130911,不預先通知,83,0,0,0,查核
30,113年度雨水下水道預約維護工程（士林、大同區）,臺北市政府工務局水利工程處,16500,臺北市政府工務局水利工程處雨水下水道工程科,任泰技術顧問有限公司,太牛營造有限公司,無,1130912,不預先通知,82,0,0,0,查核
31,113年度仁愛樓外牆防水整修工程,臺北市信義區興雅國民小學,9417,原啟建築師事務所,原啟建築師事務所,淺羽營造股份有限公司,無,1130913,不預先通知,83,0,0,0,查核
32,113年度專案路面及附屬設施更新工程(第4標)(內湖、南港區),臺北市政府工務局新建工程處,67150,恆康工程顧問股份有限公司,安笙工程顧問有限公司,一亨營造有限公司,無,1130913,不預先通知,82,0,0,0,查核
33,113年度臺北市學校運動場及跑道整修統包工程(第7群)─芳和實中,臺北市芳和實驗中學,4452,祥發運動設施管理有限公司,廖春生建築師事務所,祥發運動設施管理有限公司,萬邦建築師事務所,1130918,不預先通知,81,0,0,0,查核
34,臺北市政府消防局興隆分隊新建工程,臺北市政府工務局新建工程處,347000,陳文彥建築師事務所,陳文彥建築師事務所,"文昌營造工程有限公司
萬信工程有限公司
鉅鎮企業有限公司",無,1130919,不預先通知,82,0,0,0,查核
35,112-113年度臺北市交通資訊可變標誌工程（硬體工程）,臺北市交通管制工程處,13400,玖泰交通科技有限公司,玖泰交通科技有限公司,中華電信股份有限公司企業客戶分公司,無,1130919,不預先通知,81,0,0,0,查核
