序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,新園房舍空調系統工程,臺北市立文山幼兒園,11200,典石聯合建築師事務所,典石聯合建築師事務所,協承集成股份有限公司,無,1140707,不預先通知,84,0,0,0,查核
2,114東區C管網改善工程,臺北自來水事業處,48000,臺北自來水事業處東區營業分處,臺北自來水事業處東區營業分處,鎮沅有限公司,無,1140708,不預先通知,81,0,0,0,查核
3,114年東區污水管渠設施檢視及維護預約式工程,臺北市政府工務局衛生下水道工程處,28000,臺北市政府工務局衛生下水道工程處,桔源工程顧問有限公司,啟揚環境有限公司,無,1140714,不預先通知,82,0,0,0,查核
4,113至114年度忠孝院區醫療大樓屋頂防水整修工程,臺北市立聯合醫院忠孝院區,21749,陳順惠建築師事務所,陳順惠建築師事務所,王麒營造有限公司,無,1140716,不預先通知,81,0,0,0,查核
5,114西區A管網改善工程,臺北自來水事業處,48000,臺北自來水事業處西區營業分處,臺北自來水事業處西區營業分處,祥皓工程有限公司,無,1140717,不預先通知,84,0,0,0,查核
6,114年度文山區公所轄管鄰里公園綠化維護預約工程（Z項）,臺北市文山區公所,6860,惇陽工程顧問有限公司,惇陽工程顧問有限公司,大芊有限公司,無,1140721,不預先通知,80,0,0,0,查核
7,114年度臺北市南區登山步道維護更新預約式工程,臺北市政府工務局大地工程處道路步道科,14740,開巨技術顧問有限公司,開巨技術顧問有限公司,曜鼎營造有限公司,無,1140722,不預先通知,83,0,0,0,查核
8,114年度大安森林公園等加強綠美化工程,臺北市政府工務局公園路燈工程管理處,13889,臺北市政府工務局公園路燈工程管理處,臺北市政府工務局公園路燈工程管理處,里仁園藝有限公司,無,1140723,不預先通知,83,0,0,0,查核
9,國家生技研究園區聯外道路工程,臺北市政府工務局新建工程處,1072500,台灣世曦工程顧問股份有限公司,鴻宜工程顧問有限公司,福清營造股份有限公司,無,1140724,不預先通知,86,0,0,0,查核
10,「臺北體育園區整體整建工程」工程採購案,臺北市政府體育局,42870,有謙建築師事務所,有謙建築師事務所,禾螢營造有限公司,無,1140725,不預先通知,81,0,0,0,查核
11,萬大－中和－樹林線(第一期工程)CQ860區段標工程,臺北市政府捷運工程局第一區工程處,6430000,"台灣世曦工程顧問股份有限公司
中興工程顧問股份有限公司","臺北市政府捷運工程局第一區工程處土木第五工務所
臺北市政府捷運工程局第一區工程處水電環控第一工務所",皇昌營造股份有限公司,無,1140729,不預先通知,86,0,0,0,查核
12,114年度陽明山公園管理所所轄公園整建工程-北投、士林區公園整建工程,臺北市政府工務局公園路燈工程管理處,17580,城拓工程顧問有限公司,城拓工程顧問有限公司,淞楊營造有限公司,無,1140730,不預先通知,82,0,0,0,查核
13,大龍抽水站擴建站新建工程,臺北市政府工務局水利工程處,446000,中興工程顧問股份有限公司,盛禹工程顧問有限公司,安倉營造股份有限公司,無,1140730,不預先通知,82,0,0,0,查核
14,東門中繼市場工程,臺北市市場處,34629,林彥忠建築師事務所,林彥忠建築師事務所,"金隆營造股份有限公司
大羿實業有限公司",無,1140730,不預先通知,79,0,0,0,查核
15,114年度中正樓及美齡樓耐震補強工程,臺北市立中正高級中學,39712,鴻碩工程顧問有限公司,鴻碩工程顧問有限公司,昌坤營造有限公司,無,1140801,不預先通知,81,0,0,0,查核
16,113至114年度中興院區6A住宿式長照機構及6B病房整修工程,臺北市立聯合醫院中興院區,66959,李玉斌建築師事務所,李玉斌建築師事務所,大奇摩室內裝修科技有限公司,無,1140806,不預先通知,79,0,0,0,查核
17,臺北市信義區松隆路人行環境改善工程,臺北市政府工務局新建工程處,91628,恆康工程顧問股份有限公司,安笙工程顧問有限公司,稻田營造有限公司,無,1140811,不預先通知,86,0,0,0,查核
18,114年屋頂防水工程聯合採購(Pooling)(第3群)-永吉國中、仁愛國中、長安國小等3校-仁愛國中(B組)活動中心屋頂防水隔熱整修工程,臺北市立仁愛國民中學,7303,杜班工程技術顧問有限公司,逸華建築師事務所,虹泰營造有限公司,無,1140813,不預先通知,82,0,0,0,查核
19,114南區A管網改善工程,臺北自來水事業處,44040,臺北自來水事業處南區營業分處,臺北自來水事業處南區營業分處,碧城興業股份有限公司,無,1140815,不預先通知,83,0,0,0,查核
20,114陽明B管網改善工程,臺北自來水事業處陽明營業分處,44000,臺北自來水事業處,臺北自來水事業處陽明營業分處,榮奕工程實業有限公司,無,1140819,不預先通知,82,0,0,0,查核
21,八里污水處理廠第5期設備更新工程,臺北市政府工務局衛生下水道工程處,319926,式新工程顧問股份有限公司,式新工程顧問股份有限公司,合水先進環境技術股份有限公司,無,1140820,不預先通知,81,0,0,0,查核
22,114年度臺北市環保局清潔隊地坪暨圍牆整建工程,臺北市政府環境保護局環境清潔管理科,15068,陳建勳建築師事務所,陳建勳建築師事務所,李季開發有限公司,陳建勳建築師事務所,1140820,不預先通知,82,0,0,0,查核
23,114年度臺北市山坡地溪溝更新預約式工程（北區）,臺北市政府工務局大地工程處,17120,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,渝東營造有限公司,無,1140822,不預先通知,82,0,0,0,查核
24,米粉坑溪周邊排水改善工程(大湖山莊街調洪沉砂池B池),臺北市政府工務局水利工程處,31761,黎明工程顧問股份有限公司,威旭工程顧問有限公司,淞源營造有限公司,無,1140825,不預先通知,85,0,0,0,查核
25,臺北市立南港高級中學綜合教學大樓新建工程,臺北市政府工務局新建工程處,796490,啟達聯合建築師事務所,啟達聯合建築師事務所,遠碩營造股份有限公司,無,1140826,不預先通知,83,0,0,0,查核
26,114年度花卉試驗中心所轄公園整建工程-內湖區土木設施維護預約工程,臺北市政府工務局公園路燈工程管理處花卉試驗中心,12964,和建工程顧問股份有限公司,和建工程顧問股份有限公司,登煌營造有限公司,無,1140826,不預先通知,82,0,0,0,查核
27,成功、忠孝及福德抽水站機組更新暨社臨九等抽水站周邊設備更新工程,臺北市政府工務局水利工程處,465000,台灣世曦工程顧問股份有限公司,宇堂工程顧問有限公司,山豐營造股份有限公司,無,1140826,不預先通知,82,0,0,0,查核
28,113至114年度和平院區醫療大樓外牆整修工程,臺北市立聯合醫院和平婦幼院區,44800,江榮裕建築師事務所,江榮裕建築師事務所,建虹營造有限公司,無,1140827,不預先通知,80,0,0,0,查核
