序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,八里污水處理廠第4期設備更新工程,臺北市政府工務局衛生下水道工程處工務科淡水河系設施改善工務所,323500,宇堂工程顧問有限公司,宇堂工程顧問有限公司,健鑫環境工程股份有限公司,無,1110112,不預先,83,0,0,0,查核
2,臺北市內湖區舊宗公共住宅新建工程,臺北市政府工務局大地工程處審查管理科,528000,郭恆成建築師事務所,郭恆成建築師事務所,文昌營造工程有限公司 極盛科技股份有限公司 超群空調工程有限公司,無,1110114,不預先,84,0,0,0,查核
3,淡水信義線車站、北投機廠及地下街監視設備暨錄影系統重置工程,臺北大眾捷運股份有限公司系統處通訊廠,171989,臺北大眾捷運股份有限公司系統處通訊廠,臺北大眾捷運股份有限公司系統處通訊廠,臺灣恩益喜公司,無,1110114,不預先,81,0,0,0,查核
4,劍潭站站外地磚更新工程,臺北大眾捷運股份有限公司工務處土建廠,10880,臺北大眾捷運股份有限公司工務處土建廠,臺北大眾捷運股份有限公司工務處土建廠,僑陽工程有限公司,無,1110117,不預先,81,0,0,0,查核
5,臺北市立北投國民中學活動中心新建工程,臺北市政府工務局新建工程處北區工務所,280720,黃孟偉建築師事務所,黃孟偉建築師事務所,福泰營造有限公司 昱磊工程有限公司 宏瓏科技工程有限公司,無,1110119,不預先,80,0,0,0,查核
6,萬芳、景美及奇岩抽水站機組更新暨埤腹等3座抽水站周邊設備更新工程,臺北市政府工務局水利工程處工務科抽水站工務所,235400,台灣世曦工程顧問股份有限公司,安笙工程顧問有限公司,山豐營造有限公司,無,1110119,不預先,85,0,0,0,查核
7,四獸山高地供水管線新設工程,臺北自來水事業處工程總隊,23626,臺北自來水事業處工程總隊,臺北自來水事業處工程總隊,順盛工程有限公司,無,1110119,不預先,81,0,0,0,查核
8,科技大樓站停車場新建工程,臺北市停車管理工程處土木建築科,808010,楊天柱建築師事務所,楊天柱建築師事務所,登山營造股份有限公司 凡中工程股份有限公司,無,1110119,不預先,82,0,0,0,查核
9,環狀線北環段新北市區段植栽移植先期工程,臺北市政府捷運工程局第一區工程處土木第一工務所,27900,台灣世曦工程顧問股份有限公司,臺北市政府捷運工程局第一區工程處土木第一工務所,巧園園藝有限公司,無,1110120,不預先,81,0,0,0,查核
10,臺北市內湖區河濱高中基地公共住宅統包工程,臺北市政府都市發展局,2647438,郭恆成建築師事務所,亞新工程顧問股份有限公司 宋哲賓建築師事務所,中華工程股份有限公司 承隆能源科技股份有限 郭恆成建築師事務所,亞新工程顧問股份有限公司,1110121,不預先,85,0,0,0,查核
11,歷史建築原臺北刑務所官舍修復工程,臺北市政府文化局,137200,徐裕健建築師事務所,徐裕健建築師事務所,慶霖營造股份有限公司,無,1110122,不預先,85,0,0,0,查核
12,南門大樓暨市場改建統包工程,臺北市政府工務局新建工程處大運工務所,2685700,九典聯合建築師事務所,中興工程顧問股份有限公司,根基營造股份有限公司,中興工程顧問股份有限公司,1110124,不預先,82,0,0,0,查核
13,110年艋舺公園星象廣場工程,臺北市政府工務局公園路燈工程管理處工務科西區分隊,11320,羅墀璜建築師事務所,羅墀璜建築師事務所,永禎營造股份有限公司,無,1110214,不預先,82,0,0,0,查核
14,109-112年南區分管網暨支管及用戶排水設備統包工程,臺北市政府工務局衛生下水道工程處工務科南區工務所,194000,式新工程顧問股份有限公司,恆康工程顧問公司,宏錩工程有限公司,無,1110215,不預先,82,0,0,0,查核
15,捷運安坑輕軌(安和路一至三段)自來水管線永遷復舊配合工程,臺北自來水事業處工程總隊,39956,臺北自來水事業處工程總隊,臺北自來水事業處工程總隊,碧城興業股份有限公司,無,1110218,不預先,82,0,0,0,查核
16,臺北市內湖區南湖國民小學活動中心新建工程,臺北市政府工務局新建工程處東區工務所,268500,孫文郁建築師事務所,孫文郁建築師事務所,根基營造股份有限公司,無,1110221,不預先,80,0,0,0,查核
17,環狀線Y16~Y17站間高架橋(漢江春曉社區)捷運交通噪音改善工程,臺北市政府捷運工程局第一區工程處土木第八工務所,7100,亞新工程顧問股份有限公司,臺北市政府捷運工程局第一區工程處土木第八工務所,大台北噪音防治股份有限公司,無,1110222,不預先,82,0,0,0,查核
18,110西區B管網改善工程,臺北自來水事業處西區營業分處,40000,臺北自來水事業處西區營業分處,臺北自來水事業處西區營業分處,嘉昇昌實業有限公司,無,1110225,不預先,82,0,0,0,查核
19,歷史建築北投賴氏祖厝修復工程,臺北市政府文化局,12740,承熙建築師事務所,承熙建築師事務所,翔頂營造有限公司,無,1110225,不預先,81,0,0,0,查核
20,北投市場整修統包工程(含中繼市場),臺北市市場處,420390,創構建築師事務所,綠野國際建築師事務所,見安營造股份有限公司 穎達冷凍空調工程有限公司 創構建築師事務所,綠野國際建築師事務所,1110311,不預先,82,0,0,0,查核
21,臺北都會區大眾捷運系統萬大─中和─樹林線（第一期工程）CQ850區段標工程,臺北市政府捷運工程局第二區工程處土木第五工務所,4514000,中興工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第五工務所,榮工工程股份有限公司,無,1110314,不預先,82,0,0,0,查核
22,公館國小風雨操場新建工程,臺北市大安區公館國民小學,34774,程景玄建築師事務所,程景玄建築師事務所,亞億營造股份有限公司,無,1110316,不預先,81,0,0,0,查核
23,泉州街2-1至2-11號宿舍拆除及圍牆整修工程,臺北市立建國高級中學,4860,黃偉致建築師事務所,黃偉致建築師事務所,遠鴻國際開發有限公司,無,1110321,不預先,81,0,0,0,查核
24,臺北市第二殯儀館聯外道路新築工程,臺北市政府工務局新建工程處南區工務所,183000,恆康工程顧問公司,盛禹工程顧問有限公司,冠君營造有限公司,無,1110321,不預先,82,0,0,0,查核
25,110年度福順等4座公園兒童遊戲場設施統包工程,臺北市政府工務局公園路燈工程管理處工務科北區分隊,7728,康鼎勤業股份有限公司,鴻宥工程技術顧問有限公司,康鼎勤業股份有限公司,無,1110322,不預先,81,0,0,0,查核
26,109年度碧山露營場管理室新建工程案,臺北市政府工務局大地工程處森林遊憩科,15170,開巨技術顧問有限公司,開巨技術顧問有限公司,日光營造股份有限公司,無,1110322,不預先,85,0,0,0,查核
27,110年度一般道路更新工程開口契約(第3標)(中正、萬華區),臺北市政府工務局新建工程處城西工務所,68341,永築工程顧問有限公司,盛禹工程顧問有限公司,晉德營造有限公司 金和泰實業有限公司,無,1110323,不預先,86,0,0,0,查核
28,振華公園附建地下停車場新建工程,臺北市停車管理工程處土木建築科,1100427,台灣世曦工程顧問股份有限公司,台灣世曦工程顧問股份有限公司 宋哲賓建築師事務所,世久營造探勘工程股份有限公司,無,1110325,不預先,84,0,0,0,查核
29,捷運圓山站至民族西路段線形公園景觀優化工程,臺北市政府工務局公園路燈工程管理處工務科東區分隊,28105,環藝工程顧問有限公司,環藝工程顧問有限公司,金煌營造有限公司,無,1110329,不預先,82,0,0,0,查核
30,美堤河濱公園自然親水灣周邊環境整建工程(第二期),臺北市政府工務局水利工程處工務科大佳工務所,37500,宜大國際景觀科技股份有限公司,盛禹工程顧問有限公司,鋐城營造有限公司,無,1110329,不預先,85,0,0,0,查核
31,翡翠原水管工程,臺北自來水事業處工程總隊,1832500,中興工程顧問股份有限公司,台北自來水事業處工程總隊,福清營造股份有限公司,無,1110329,不預先,83,0,0,0,查核
32,110年度平價住宅公共設施及房屋修護預約發包工程,臺北市政府社會局,4500,邱建興建築師事務所,邱建興建築師事務所,台笙營造有限公司,無,1110330,不預先,78,3,2,0,查核
33,迪化污水處理廠委託操作維護第六期暨設備更新-設備更新,臺北市政府工務局衛生下水道工程處工務科淡水河系設施改善工務所,355997,山林水環境工程股份有限公司,式新工程顧問股份有限公司,山林水環境工程股份有限公司,無,1110331,不預先,83,0,0,0,查核
34,歷史建築草山行館園區湖底路93號房舍修建工程,臺北市政府文化局,27196,許育鳴建築師事務所,連宏基建築師事務所,泰南營造有限公司,無,1110331,不預先,81,0,0,0,查核
