序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,臺北都會區大眾捷運系統萬大─中和─樹林線（第一期工程）CQ850A區段標工程,臺北市政府捷運工程局第二區工程處土木第四工務所,2945000,中興工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第四工務所,大陸工程股份有限公司,無,1110406,不預先,85,0,0,0,查核
2,110年特色兒童遊戲場改善工程,臺北市政府工務局公園路燈工程管理處工務科西區分隊,16927,陳建廷建築師事務所,陳建廷建築師事務所,登煌營造有限公司,無,1110407,不預先,82,0,0,0,查核
3,110年度逸仙樓消防設備改善工程,臺北市立中山女子高級中學,2786,詠順消防水電工程行,詠順消防水電工程行,泰州消防器材有限公司,無,1110415,不預先,81,0,0,0,查核
4,第一期錄影監視系統汰舊換新統包工程,臺北市政府警察局,1409000,台灣世曦工程顧問股份有限公司,台灣世曦工程顧問股份有限公司,神通資訊科技股份有限公司,無,1110415,不預先,82,0,0,0,查核
5,109-112年北區分管網暨支管及用戶排水設備統包工程,臺北市政府工務局衛生下水道工程處工務科北區工務所,373106,桔源工程顧問有限公司,恆康工程顧問股份有限公司,廣信工程有限公司,無,1110419,不預先,82,0,0,0,查核
6,臺北市南港區南港機廠基地公共住宅統包工程,臺北市政府都市發展局,7300000,薛昭信建築師事務所,中興工程顧問股份有限公司 台北國際聯合建築師事務所 華興聯合建築事務所,大陸工程股份有限公司 達欣工程股份有限公司,中興工程顧問股份有限公司,1110419,不預先,85,0,0,0,查核
7,110年度全市橋涵美化及鋼構油漆維護工程開口契約（第1標）,臺北市政府工務局新建工程處西區工務所,20000,和建工程顧問股份有限公司,世偉工程顧問有限公司,上溢營造股份有限公司,無,1110420,不預先,82,0,0,0,查核
8,陽明區孔蓋周邊圓形切割樹脂混凝土整平工程,臺北自來水事業處陽明營業分處,7000,臺北自來水事業處陽明營業分處,臺北自來水事業處,元裕營造有限公司,無,1110421,不預先,82,0,0,0,查核
9,110年度擴建中央廚房工程及設備改善工程,臺北市北投區桃源國民小學,13288,典石聯合建築師事務所,典石聯合建築師事務所,福原營造有限公司,無,1110422,不預先,82,0,0,0,查核
10,110-111年士林第8、內湖第9、南港第1及其他墓區整理遷置等工程,臺北市殯葬管理處,42360,弘郁工程技術顧問有限公司,弘郁工程技術顧問有限公司,傳亞營造有限公司,無,1110425,不預先,80,0,0,0,查核
