序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,廣慈博愛園區整體開發計畫公共住宅第C標統包工程,臺北市政府都市發展局,3566600,境向聯合建築師事務所,孫文郁建築師事務所,雙喜營造股份有限公司 勝勤實業股份有限公司 境向聯合建築師事務所,台灣世曦工程顧問股份有限公司,1110711,不預先,76,0,0,0,查核
2,111年E棟活動中心廁所整修工程,臺北市立內湖高級中學,4200,謝欽宗建築師事務所,謝欽宗建築師事務所,翔台國際室內裝修股份有限公司,無,1110712,不預先,81,0,0,0,查核
3,111年度災害搶修暨災防工程開口契約(士林、北投、中山、大同區),臺北市政府工務局新建工程處北區工務所,14490,恆康工程顧問股份有限公司,世偉工程顧問有限公司,興成營造有限公司,無,1110713,不預先,83,0,0,0,查核
4,一清幹線(中、永和成功路PCCP)備援幹管統包工程,臺北自來水事業處工程總隊,690000,豐順營造股份有限公司,臺北自來水事業處工程總隊,豐順營造股份有限公司,無,1110714,不預先,86,0,0,0,查核
5,臺北市立美術館典藏庫房新建暨南進門改善統包工程,臺北市政府捷運工程局第一區工程處土木第六工務所,1073570,張樞建築師事務所,喻台生建築師事務所,久年營造股份有限公司 益鼎工程股份有限公司 張樞建築師事務所,郭恆成建築師事務所,1110714,不預先,83,0,0,0,查核
6,延平合署大樓110-111年結構補強暨整修工程,臺北市立圖書館,24200,拓緯工程顧問有限公司,拓緯工程顧問有限公司,正光陽營造廠有限公司,無,1110718,不預先,81,0,0,0,查核
7,111年東區污水管渠配合拆遷及後巷美化預約式工程,臺北市政府工務局衛生下水道工程處工務科東區工務所,39000,臺北市政府工務局衛生下水道工程處,桔源工程顧問有限公司,翔益營造有限公司,無,1110718,不預先,81,0,0,0,查核
8,110年度一般道路更新工程開口契約(第1標)(中山、大同區),臺北市政府工務局新建工程處西區工務所,70359,恆康工程顧問股份有限公司,世偉工程顧問有限公司,祥泉營造有限公司 三峽瀝青股份有限公司,無,1110720,不預先,81,0,0,0,查核
9,110北區A管網改善工程,臺北自來水事業處北區營業分處,40000,臺北自來水事業處北區營業分處,臺北自來水事業處北區營業分處,華盛工程有限公司,無,1110721,不預先,82,0,0,0,查核
10,全園高壓供電系統改善汰換工程,臺北市立動物園,46009,偉士電機技師事務所,偉士電機技師事務所,智景有限公司,無,1110726,不預先,82,0,0,0,查核
11,成功市場周邊排水改善工程,臺北市政府工務局水利工程處工務科南區工務所,9100,威旭工程顧問有限公司,鹿島工程技術顧問股份有限公司,安宏營造有限公司,無,1110726,不預先,82,0,0,0,查核
12,興國(中山46號)公園擴建工程,臺北市政府工務局公園路燈工程管理處工務科東區分隊,38396,境觀設計有限公司,境觀設計有限公司,金煌營造有限公司,無,1110728,不預先,85,0,0,0,查核
13,公1公園附建地下停車場新建工程,臺北市停車管理工程處土木建築科,989000,楊瑞禎聯合建築師事務所,楊瑞禎聯合建築師事務所,國記營造股份有限公司 新記機電股份有限公司,無,1110728,不預先,85,0,0,0,查核
14,臺北市文山區景美女中調車場基地公共住宅統包工程,臺北市政府都市發展局,1058790,陳浩怡建築師事務所,郭恆成建築師事務所 中棪工程顧問股份有限公司,久年營造股份有限公司 陳浩怡建築師事務所,郭恆成建築師事務所,1110811,不預先,81,0,0,0,查核
15,110年度忠孝樓外牆混凝土剝落整修工程,臺北市北投區石牌國民小學,8970,林東益建築師事務所,林東益建築師事務所,凱驊營造有限公司,無,1110812,不預先,80,2,2,0,查核
16,111年南區污水管渠配合拆遷及後巷美化預約式工程,臺北市政府工務局衛生下水道工程處工務科南區工務所,39000,臺北市政府工務局衛生下水道工程處維護工程科,桔源工程顧問有限公司,廣信工程有限公司,無,1110815,不預先,81,0,0,0,查核
17,A棟教室大樓外牆整修工程,臺北市立木柵高級工業職業學校,8350,鹿島工程技術顧問股份有限公司,鹿島工程技術顧問股份有限公司,群義工程有限公司,無,1110816,不預先,80,0,0,0,查核
18,北投士林科技園區區段徵收公共工程（第2期-西基地）,臺北市政府工務局新建工程處北士科工務所,1293481,林同棪工程顧問股份有限公司,亞新工程顧問股份有限公司,大成工程股份有限公司,無,1110816,不預先,81,0,1,0,查核
19,市定古蹟臺北工場修復工程,臺北市政府捷運工程局第二區工程處土木第九工務所,97950,徐裕健建築師事務所,徐裕健建築師事務所,松肯營造工程有限公司,無,1110822,不預先,82,0,0,0,查核
