序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,臺北市立內湖國民中學綜合大樓新建工程,臺北市政府工務局新建工程處,561000,邱永章建築師事務所,邱永章建築師事務所,"宏義工程股份有限公司
品智工程有限公司
兆慶空調有限公司",無,1121013,不預先通知,83,0,0,0,查核
2,臺北市中山區力行社會住宅新建工程,臺北市政府都市發展局,194000,旭日聯合建築師事務所,旭日聯合建築師事務所,建國工程股份有限公司,無,1121013,不預先通知,84,0,0,0,查核
3,112年度登山步道周邊改善工程,臺北市政府工務局大地工程處,31000,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,富士山營造有限公司,無,1121016,不預先通知,85,0,0,0,查核
4,文湖線內湖段場站火警系統及木柵機廠自動滅火系統重置工程,臺北大眾捷運股份有限公司,89070,臺北大眾捷運股份有限公司電機處水電廠,臺北大眾捷運股份有限公司電機處水電廠,正興機電工程股份有限公司,無,1121016,不預先通知,81,0,0,0,查核
5,華中露營場周邊環境改善工程,臺北市政府工務局水利工程處,18140,陳荊洲建築師事務所,盛禹工程顧問有限公司,瑞健營造有限公司,無,1121018,不預先通知,82,0,0,0,查核
6,臺北市立大安國中綜合教學大樓新建工程,臺北市政府工務局新建工程處,1172960,高世銘建築師事務所,高世銘建築師事務所,"遠碩營造股份有限公司
遠碩機電工程股份有限公司
台灣歐?空調股份有限公司",無,1121019,不預先通知,86,0,0,0,查核
7,110至112年度仁愛院區醫療大樓9、10樓東側健檢中心整修工程,臺北市立聯合醫院,66901,李玉斌建築師事務所,李玉斌建築師事務所,倍慶室內裝修工程有限公司,無,1121023,不預先通知,81,0,0,0,查核
8,110至112年自來水管線內襯固化工法配合工程,臺北自來水事業處工程總隊,90012,臺北自來水事業處工程總隊,臺北自來水事業處工程總隊,橋豐科技股份有限公司,無,1121024,不預先通知,81,0,0,0,查核
9,112年度臺北市學校運動場及跑道整修統包工程(第7群)-誠正國中,臺北市立誠正國民中學,10451,許志豪建築師事務所,典石聯合建築師事務所,"華泰興營造有限公司
許志豪建築師事務所",萬邦建築師事務所,1121026,不預先通知,82,0,0,0,查核
10,北投中心新村聚落活化再利用工程,臺北市政府文化局,18464,景雅琦建築師事務所,景雅琦建築師事務所,翔頂營造有限公司,無,1121026,不預先通知,81,0,0,0,查核
11,111年度圓山公園管理所所轄公園整建工程-松山區、大同區土木設施維護預約工程(112年續約),臺北市政府工務局公園路燈工程管理處,16013,鴻宥工程技術顧問有限公司,鴻宥工程技術顧問有限公司,佳緯營造有限公司,無,1121027,不預先通知,81,0,0,0,查核
12,代辦臺北市市場處所屬公有環南市場改建工程主體工程,臺北市政府工務局水利工程處,5500000,啟達聯合建築師事務所,啟達聯合建築師事務所,"皇昌營造股份有限公司
中華電信股份有限公司企業客戶分公司",無,1121027,不預先通知,85,0,0,0,複查
13,111東區管網改善工程,臺北自來水事業處東區營業分處,38000,臺北自來水事業處東區營業分處,臺北自來水事業處東區營業分處,碧城興業股份有限公司,無,1121027,不預先通知,82,0,0,0,查核
14,112年校園優質化工程,臺北市立重慶國民中學,22669,禾邦建築師事務所,禾邦建築師事務所,譽寬營造有限公司,無,1121030,不預先通知,82,0,0,0,查核
15,112年南區污水管渠配合拆遷及後巷美化預約式工程,臺北市政府工務局衛生下水道工程處工務科南區工務所,27000,臺北市政府工務局衛生下水道工程處,群亞工程顧問有限公司,啟揚環境有限公司,無,1121030,不預先通知,81,0,0,0,查核
16,112-113年度交通號誌及管道工程案1,臺北市交通管制工程處,14300,御軒工程顧問有限公司,御軒工程顧問有限公司,誌亨工程有限公司,無,1121030,不預先通知,81,0,0,0,查核
17,112年度臺北市山坡地邊坡改善與設施維護工程,臺北市政府工務局大地工程處,29000,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,競捷營造股份有限公司,無,1121031,不預先通知,85,0,0,0,查核
18,111年度本市西北區公園綠地安全島廣場苗圃等土木水電設施維護預約工程（112年續約）,臺北市政府工務局公園路燈工程管理處,21959,晨星工程技術顧問有限公司,晨星工程技術顧問有限公司,冠品營造工程有限公司,無,1121106,不預先通知,81,0,0,0,查核
19,112年西區污水管渠配合拆遷及後巷美化預約式工程,臺北市政府工務局衛生下水道工程處,27000,臺北市政府工務局衛生下水道工程處,群亞工程顧問有限公司,萬碁工程有限公司,無,1121106,不預先通知,83,0,0,0,查核
20,112陽明區溫泉取供設備改善工程,臺北自來水事業處陽明營業分處,19993,臺北自來水事業處陽明營業分處,臺北自來水事業處陽明營業分處,宇力工程有限公司,無,1121107,不預先通知,82,0,0,0,查核
21,111至113年度中大口徑幹管不斷水工法配合工程,臺北自來水事業處,106100,臺北自來水事業處工程總隊,臺北自來水事業處工程總隊,碧城興業股份有限公司,無,1121110,不預先通知,84,0,0,0,查核
22,112-113年度臺北市交通標線工程1,臺北市交通管制工程處,12558,臺北市交通管制工程處,玖泰交通科技有限公司,立新交通工程器材有限公司,無,1121110,不預先通知,82,0,0,0,查核
23,111年度校園體育空間空調設備改善工程,臺北市立北投國民中學,26427,黃孟偉建築師事務所,黃孟偉建築師事務所,新歐工程有限公司,無,1121115,不預先通知,78,1,0,0,查核
24,112年度道路預約式契約維護修繕工程第5標,臺北市政府工務局新建工程處,76000,鹿島工程技術顧問股份有限公司,鹿島工程技術顧問股份有限公司,聖東營造股份有限公司,無,1121115,不預先通知,82,0,0,0,查核
25,廣慈院民生活區及辦公室相關一般用電、ICT弱電及架設工程案,臺北市立浩然敬老院,20308,百大工程顧問股份有限公司,百大工程顧問股份有限公司,知音科技有限公司,無,1121115,不預先通知,79,0,0,0,查核
26,龍山商場1F及B1整修工程,臺北市市場處,9592,林彥忠建築師事務所,林彥忠建築師事務所,金隆營造股份有限公司,無,1121117,不預先通知,81,0,0,0,查核
27,112年度全市堤坡及護岸綠化工程,臺北市政府工務局水利工程處,10000,臺北市政府工務局水利工程處河川工程科,盛禹工程顧問有限公司,永溢營造股份有限公司,無,1121121,不預先通知,81,0,0,0,查核
28,112年度臺北市山坡地溪溝改善及設施維護工程,臺北市政府工務局大地工程處土石流防治科,22980,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,亞東營造股份有限公司,無,1121121,不預先通知,85,0,0,0,查核
29,112年度全市沉水泵吊視檢修工程,臺北市政府工務局水利工程處,5082,臺北市政府工務局水利工程處抽水站二,盛禹工程顧問有限公司,井親電機股份有限公司,無,1121123,不預先通知,80,0,0,0,查核
30,112年度臺北市人行道改善工程開口契約（第四標）,臺北市政府工務局新建工程處,43700,恆康工程顧問股份有限公司,安笙工程顧問有限公司,金煌營造有限公司,無,1121129,不預先通知,83,0,0,0,查核
31,臺北市南港區南港機廠基地公共住宅智慧科技應用統包工程,臺北市政府都市發展局,298486,新世紀資通股份有限公司,"中興工程顧問股份有限公司
台北國際聯合建築師事務所
華興聯合建築事務所","新世紀資通股份有限公司
遠傳電信股份有限公司系統整合分公司
弘業聯合電機技師事務所",中興工程顧問股份有限公司,1121129,不預先通知,82,0,0,0,查核
32,永昌(中正184號)公園擴建工程,臺北市政府工務局公園路燈工程管理處,15995,墣境國際規劃設計顧問有限公司,墣境國際規劃設計顧問有限公司,正岳營造股份有限公司,無,1121130,不預先通知,82,0,0,0,查核
33,天母校區火警系統汰換工程,臺北市立大學,30229,昇揚消防工程顧問有限公司,昇揚消防工程顧問有限公司,錦泓消防興業股份有限公司,無,1121213,不預先通知,83,0,0,0,查核
