序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,111年度臺北市山坡地農業環境改善工程,臺北市政府工務局大地工程處,30000,開巨技術顧問有限公司,開巨技術顧問有限公司,台正營造有限公司,無,1120214,不預先通知,85,0,0,0,查核
2,111年度彩虹河濱公園輪狀車練習場新建工程,臺北市政府工務局水利工程處,17560,怡興工程顧問有限公司,威旭工程顧問有限公司,安宏營造有限公司,無,1120216,不預先通知,81,0,0,0,查核
3,萬隆東營區社會福利設施用地新建工程,臺北市政府工務局新建工程處,1383800,王騰建築師事務所,王騰建築師事務所,"三星營造股份有限公司
永龍企業有限公司",無,1120217,不預先通知,85,0,0,0,查核
4,萬大－中和－樹林線(第一期工程)CQ860區段標工程,臺北市政府捷運工程局第一區工程處,6430000,"台灣世曦工程顧問股份有限公司
中興工程顧問股份有限公司",臺北市政府捷運工程局第一區工程處土木第五工務所,皇昌營造股份有限公司,無,1120217,不預先通知,86,0,0,0,查核
5,內湖321K01停車場新建工程,臺北市停車管理工程處,946780,楊天柱建築師事務所,楊天柱建築師事務所,"登山營造股份有限公司
凡中工程股份有限公司",無,1120220,不預先通知,82,0,0,0,查核
6,111年活動中心無障礙環境改善增設無障礙電梯工程採購案,臺北市立明德國民中學,5780,陳建志建築師事務所,陳建志建築師事務所,合金營造有限公司,無,1120222,不預先通知,82,0,0,0,查核
7,合成8號綠地整建工程,臺北市政府工務局公園路燈工程管理處,20588,鵬程工程顧問有限公司,鵬程工程顧問有限公司,翔頂營造有限公司,無,1120223,不預先通知,83,0,0,0,查核
8,中正紀念堂站等廁所重置工程,臺北大眾捷運股份有限公司,86115,永杰營造有限公司,臺北大眾捷運股份有限公司工務處土建廠,永杰營造有限公司,無,1120223,不預先通知,82,0,0,0,查核
9,北投市場整修統包工程(含中繼市場),臺北市市場處,420390,創構建築師事務所,綠野國際建築師事務所,"見安營造股份有限公司
穎達冷凍空調工程有限公司
創構建築師事務所",綠野國際建築師事務所,1120223,不預先通知,81,0,0,0,查核
10,臺北市南港區南港機廠基地公共住宅統包工程,臺北市政府都市發展局,7300000,"薛昭信建築師事務所
闕河彬建築師事務所","中興工程顧問股份有限公司
台北國際聯合建築師事務所
華興聯合建築事務所","大陸工程股份有限公司
達欣工程股份有限公司",中興工程顧問股份有限公司,1120224,不預先通知,87,0,0,0,查核
11,公1公園附建地下停車場新建工程,臺北市停車管理工程處,989000,楊瑞禎聯合建築師事務所,楊瑞禎聯合建築師事務所,"國記營造股份有限公司
新記機電股份有限公司",無,1120307,不預先通知,81,0,0,0,查核
12,111年度操場及跑道整修統包工程,臺北市信義區博愛國民小學,9383,陳彥祥建築師事務所,杜班工程技術顧問有限公司,緣督實業有限公司,萬邦建築師事務所,1120308,不預先通知,82,0,0,0,查核
13,中山地政大樓空調系統汰換工程,臺北市中山地政事務所,14877,致鑫工程顧問有限公司,致鑫工程顧問有限公司,旭冠機電工程股份有限公司,無,1120309,不預先通知,82,0,0,0,查核
14,城市舞台暨藝文大樓及廣場周邊環境整修統包工程,臺北市政府文化局,684260,莫國箴建築師事務所,"亞新工程顧問股份有限公司
許育嘉建築師事務所","應州工程有限公司
平安集成股份有限公司
嘉隆國際有限公司
莫國箴建築師事務所
明立科技有限公司",亞新工程顧問股份有限公司,1120309,不預先通知,82,0,0,0,查核
15,百齡左岸河濱公園兒童遊戲場等2項新建工程,臺北市政府工務局水利工程處,24030,惇陽工程顧問有限公司,任泰技術顧問有限公司,頡笙營造有限公司,無,1120310,不預先通知,82,0,0,0,查核
16,臺北都會區大眾捷運系統萬大─中和─樹林線（第一期工程）CQ850A區段標工程,臺北市政府捷運工程局第二區工程處,2945000,中興工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第四工務所,大陸工程股份有限公司,無,1120310,不預先通知,86,0,0,0,查核
17,捷運綠廊串連人行動線(士林-劍潭站)更新工程,臺北市政府工務局公園路燈工程管理處,64260,境觀設計有限公司,境觀設計有限公司,安宏營造有限公司,無,1120313,不預先通知,85,0,0,0,查核
18,雙連站及西門站店舖改建工程,臺北大眾捷運股份有限公司工務處,9007,禾晉建築師事務所,臺北大眾捷運股份有限公司工務處土建廠,凱鑫達營造股份有限公司,無,1120313,不預先通知,81,0,0,0,查核
