序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,臺北市興隆公共住宅二期E基地新建工程,臺北市政府都市發展局,1236000,郭旭原建築師事務所,郭旭原建築師事務所,新亞建設開發股份有限公司,無,1120705,不預先通知,81,0,0,0,查核
2,LG02車站、LG02至LG03及LG02至LG01潛盾隧道土建工程及國語實小捷運共構大樓新建工程,臺北市政府捷運工程局第二區工程處,2467000,台灣世曦工程顧問股份有限公司,"臺北市政府捷運工程局第二區工程處土木第三工務所
瀚品聯合建築師事務所",大陸工程股份有限公司,無,1120706,不預先通知,84,0,0,0,查核
3,112陽明B管線配合工程,臺北自來水事業處陽明營業分處,35139,臺北自來水事業處陽明營業分處,臺北自來水事業處陽明營業分處,鎮沅有限公司,無,1120711,不預先通知,82,0,0,0,查核
4,112年度寬度8公尺以下道路更新及附屬設施改善工程開口契約(第4標)(內湖、南港區),臺北市政府工務局新建工程處,50000,臺北市政府工務局新建工程處,群亞工程顧問有限公司,磐碩營造股份有限公司,無,1120714,不預先通知,84,0,0,0,查核
5,112年活動中心外牆及校門口地坪整修工程,臺北市立和平高級中學,11071,典石聯合建築師事務所,典石聯合建築師事務所,台灣三菱營造股份有限公司,無,1120717,不預先通知,81,0,0,0,查核
6,111年度山坡地住宅邊坡及老舊聚落預約式維護工程(112年續約),臺北市政府工務局大地工程處,23135,長碩工程顧問有限公司,長碩工程顧問有限公司,富士山營造有限公司,無,1120718,不預先通知,83,0,0,0,查核
7,萬芳四號公園景觀改造工程,臺北市政府工務局公園路燈工程管理處,23930,惇陽工程顧問有限公司,惇陽工程顧問有限公司,鑫大營造有限公司,無,1120720,不預先通知,83,0,0,0,查核
8,樂活公園附建地下停車場新建統包工程,臺北市停車管理工程處,618880,行遠建築師事務所,邱永章建築師事務所,"榮金營造工程股份有限公司
豪志工程股份有限公司",邱永章建築師事務所,1120724,不預先通知,82,0,0,0,查核
9,111南區管網汰換工程（DIP粉體管專標）,臺北自來水事業處南區營業分處,30960,臺北自來水事業處南區營業分處,臺北自來水事業處南區營業分處,碧城興業股份有限公司,無,1120725,不預先通知,81,0,0,0,查核
10,臺北市中山區培英公共住宅新建工程,臺北市政府工務局水利工程處,822680,曾永信建築師事務所,曾永信建築師事務所,"毅成建設股份有限公司
梵昆冷氣有限公司",無,1120727,不預先通知,82,0,0,0,查核
11,貴子坑溪及水磨坑溪整體改善工程（上游示範段）,臺北市政府工務局水利工程處,25908,開巨技術顧問有限公司,開巨技術顧問有限公司,久勝營造有限公司,無,1120727,不預先通知,86,0,0,0,查核
12,臺北市第2期污水下水道主、次幹管管渠延壽統包工程(第二標),臺北市政府工務局衛生下水道工程處,45530,尚揚工程顧問有限公司,晨星工程技術顧問有限公司,品昱營造工程股份有限公司,無,1120728,不預先通知,83,0,0,0,查核
13,三重二號配水池暨加壓站新建工程,臺北自來水事業處,1234000,環興科技股份有限公司,環興科技股份有限公司,"泰業營造股份有限公司
臺灣增澤工程股份有限公司",無,1120810,不預先通知,82,0,0,0,查核
14,臺北市中山區錦州街基地公共住宅新建工程,臺北市政府工務局新建工程處,2205000,闕河彬建築師事務所,闕河彬建築師事務所,"統營營造股份有限公司
特欣機電股份有限公司",無,1120811,不預先通知,82,0,0,0,查核
15,112年度臺北市大同區行政中心地下停車場地坪整修工程,臺北市大同區公所,4580,邱富興建築師事務所,邱富興建築師事務所,一大營造有限公司,無,1120811,不預先通知,80,1,1,0,查核
16,112年度體育館2樓球場整修暨地板改善工程,臺北市立懷生國民中學,9080,謝欽宗建築師事務所,謝欽宗建築師事務所,拓盛營造有限公司,無,1120814,不預先通知,81,0,0,0,查核
17,111至112年度和平婦幼院區急診大樓7樓病房整修工程,臺北市立聯合醫院和平婦幼院區,23518,呂廣盈建築師事務所,呂廣盈建築師事務所,倍慶室內裝修工程有限公司,無,1120814,不預先通知,81,0,0,0,查核
18,112年度臺北市北區登山步道維護更新預約式工程,臺北市政府工務局大地工程處,15700,開巨技術顧問有限公司,開巨技術顧問有限公司,協翔營造工程股份有限公司,無,1120822,不預先通知,82,0,0,0,查核
19,捷運綠廊串連人行動線(士林-劍潭站)更新工程,臺北市政府工務局公園路燈工程管理處,64260,境觀設計有限公司,境觀設計有限公司,安宏營造有限公司,無,1120823,不預先通知,86,0,0,0,查核
20,112西區B管線配合工程,臺北自來水事業處西區營業分處,30000,臺北自來水事業處,臺北自來水事業處西區營業分處,嘉昇昌實業有限公司,無,1120824,不預先通知,83,0,0,0,查核
21,111年度南區水利建造物檢修改善及災後淤土、樹木復原及設施搶修預約維護工程(112年度續約),臺北市政府工務局水利工程處,8500,臺北市政府工務局水利工程處河川工程科,盛禹工程顧問有限公司,鋐城營造有限公司,無,1120828,不預先通知,81,0,1,0,查核
22,臺北市信義區三興段資源回收廠基地公共住宅新建工程,臺北市政府工務局衛生下水道工程處,2632400,郭旭原聯合建築師事務所,郭旭原聯合建築師事務所,"春原營造股份有限公司
福林工程股份有限公司",無,1120829,不預先通知,81,0,0,0,查核
23,IK0006標捷運新蘆線暨西門地下街出入口電（扶）梯增建工程,臺北市政府捷運工程局第二區工程處,281000,臺北市政府捷運工程局第二區工程處,"臺北市政府捷運工程局第二區工程處土木第九工務所
臺北市政府捷運工程局機電系統工程處","亞億營造股份有限公司
崇友實業股份有限公司台北分公司",無,1120829,不預先通知,82,0,0,0,查核
24,112年度山坡地遊憩場域及山區道路(中山區)維護預約式工程,臺北市政府工務局大地工程處,26350,智全工程技術顧問有限公司,智全工程技術顧問有限公司,台正營造有限公司,無,1120907,不預先通知,83,0,0,0,查核
25,111年度臺北市山坡地邊坡（北區）暨代履行維護預約式工程（112年續約）,臺北市政府工務局大地工程處,36500,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,曜鼎營造有限公司,無,1120908,不預先通知,83,0,0,0,查核
26,廣慈博愛園區整體開發計畫公共住宅第C標統包工程,臺北市政府都市發展局,3566600,境向聯合建築師事務所,孫文郁建築師事務所,"雙喜營造股份有限公司
勝勤實業股份有限公司
境向聯合建築師事務所",台灣世曦工程顧問股份有限公司,1120908,不預先通知,85,0,0,0,查核
