序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,幼兒STEAM創思中心(室內暨室外)裝修工程,臺北市大安區新生國民小學,6680,典石聯合建築師事務所,典石聯合建築師事務所,福原營造有限公司,無,1130115,不預先通知,82,0,0,0,查核
2,常德街人行地下道連通工程,臺北市政府工務局新建工程處,346430,恆康工程顧問股份有限公司,恆康工程顧問股份有限公司,福清營造股份有限公司,無,1130115,不預先通知,86,0,0,0,查核
3,111至114年度中興院區空調系統暨冰水主機汰換工程,臺北市立聯合醫院中興院區,73500,高森工程顧問股份有限公司,高森工程顧問股份有限公司,晃朗工程有限公司,無,1130118,不預先通知,82,0,0,0,查核
4,三玉區民活動中心大樓防水改善工程施工案,臺北市政府社會局,38955,程景玄建築師事務所,程景玄建築師事務所,台灣南海股份有限公司,無,1130125,不預先通知,80,0,0,0,查核
5,基6疏散門牽引道改善工程,臺北市政府工務局水利工程處,14800,陳荊洲建築師事務所,晨星工程技術顧問有限公司,川億營造有限公司,無,1130126,不預先通知,82,0,0,0,查核
6,捷運北投會館周邊(大業路527巷)環境整體改造計畫,臺北市政府工務局公園路燈工程管理處,120134,大凡整合規劃設計有限公司,大凡整合規劃設計有限公司,上溢營造股份有限公司,無,1130129,不預先通知,83,0,0,0,查核
7,109-112年東區分管網暨支管及用戶排水設備統包工程,臺北市政府工務局衛生下水道工程處,362700,大武工程顧問有限公司,恆康工程顧問股份有限公司,翔益營造有限公司,無,1130129,不預先通知,84,0,0,0,查核
8,112南區管網幹管優化工程,臺北自來水事業處,42500,臺北自來水事業處,臺北自來水事業處,壯為工程股份有限公司,無,1130129,不預先通知,83,0,0,0,查核
9,捷運中山地下街出入口暨線形公園整體改造工程第1期,臺北大眾捷運股份有限公司工務處,113000,一口規劃設計顧問有限公司,臺北大眾捷運股份有限公司工務處土建廠,特傑營造股份有限公司,無,1130130,不預先通知,80,0,0,0,查核
10,民族魚市耐震補強工程,臺北市市場處,14340,拓緯工程顧問有限公司,拓緯工程顧問有限公司,開平營造工程股份有限公司,無,1130130,不預先通知,82,0,0,0,查核
11,112-113年景美第13、景美第5、內湖第3及其他墓區等墓區遷置工程,臺北市殯葬管理處,49746,弘郁工程技術顧問有限公司,弘郁工程技術顧問有限公司,台正營造有限公司,無,1130219,不預先通知,83,0,0,0,查核
12,111至114年度院本部資訊中心中央機房空調暨冰水主機汰換工程,臺北市立聯合醫院,24052,高森工程顧問股份有限公司,高森工程顧問股份有限公司,正興機電工程股份有限公司,無,1130219,不預先通知,83,0,0,0,查核
13,水磨坑溪上游環境暨排水改善工程（第1階段）,臺北市政府工務局水利工程處,17948,開巨技術顧問有限公司,開巨技術顧問有限公司,曜鼎營造有限公司,無,1130221,不預先通知,83,0,0,0,查核
14,111至113年度東南區自來水管線推進配合工程,臺北自來水事業處,98000,臺北自來水事業處工程總隊,臺北自來水事業處工程總隊,桓展企業有限公司,無,1130222,不預先通知,83,0,0,0,查核
15,南港臺電倉庫再利用及景觀工程,臺北市政府文化局,85866,徐裕健建築師事務所,徐裕健建築師事務所,松肯營造工程有限公司,無,1130222,不預先通知,82,0,0,0,查核
16,萬大－中和－樹林線（第一期工程）CQ870區段標工程,臺北市政府捷運工程局第一區工程處,10580000,中興工程顧問股份有限公司,"臺北市政府捷運工程局第一區工程處土木第三工務所
臺北市政府捷運工程局第一區工程處水電環控第二工務所
臺北市政府捷運工程局機電系統工程處電(扶)梯工務所",達欣工程股份有限公司,無,1130223,不預先通知,86,0,0,0,查核
17,?公綠廊人行環境改造工程,臺北市政府工務局新建工程處,56479,台灣世曦工程顧問股份有限公司,盛禹工程顧問有限公司,稻田營造有限公司,無,1130226,不預先通知,83,0,0,0,查核
