序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,臺北都會區大眾捷運系統信義線東延段CR580C區段標工程,臺北市政府捷運工程局第二區工程處,4827997,"亞新工程顧問股份有限公司
中興工程顧問股份有限公司",臺北市政府捷運工程局第二區工程處土木第一工務所,"中華工程股份有限公司
日商大豐營造股份有限公司",無,1130408,不預先通知,84,0,0,0,查核
2,景美溪及指南溪匯流口護岸再造工程,臺北市政府工務局水利工程處,38166,經典工程顧問有限公司,威旭工程顧問有限公司,安宏營造有限公司,無,1130411,不預先通知,85,0,0,0,查核
3,113年度臺北市山區道路預約式維護工程(北投及信義區),臺北市政府工務局大地工程處,49260,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,益廣營造有限公司,無,1130412,不預先通知,84,0,0,0,查核
4,捷運信義線東延段及新莊機廠供電系統工程採購案,臺北市政府捷運工程局機電系統工程處,566986,中鼎工程股份有限公司,臺北市政府捷運工程局機電系統工程處系統第四工務所,中鼎工程股份有限公司,無,1130416,不預先通知,82,0,0,0,查核
5,臺北市士林區百齡水岸社會住宅新建工程,臺北市政府都市發展局,1182090,楊瑞禎聯合建築師事務所,楊瑞禎聯合建築師事務所,登山營造股份有限公司,無,1130418,不預先通知,82,0,0,0,查核
6,國家生技研究園區聯外道路工程,臺北市政府工務局新建工程處,1072500,台灣世曦工程顧問股份有限公司,鴻宜工程顧問有限公司,福清營造股份有限公司,無,1130419,不預先通知,85,0,0,0,查核
7,111至113年度仁愛院區醫療大樓4C病房及嬰兒室整修工程,臺北市立聯合醫院仁愛院區,56731,禾森建築師事務所,禾森建築師事務所,新倫營造有限公司,無,1130419,不預先通知,81,0,0,0,查核
8,112北區閥栓巡查及孔蓋周邊路面平整維護工程,臺北自來水事業處,9000,臺北自來水事業處北區營業分處,臺北自來水事業處北區營業分處,元裕營造有限公司,無,1130419,不預先通知,81,0,0,0,查核
9,113年度仁愛路等道路綠美化工程,臺北市政府工務局公園路燈工程管理處,12560,臺北市政府工務局公園路燈工程管理處園藝工程隊,臺北市政府工務局公園路燈工程管理處工務科西區分隊,尚大園藝有限公司,無,1130422,不預先通知,81,0,0,0,查核
10,萬大－中和－樹林線(第一期工程)LG06車站土建工程,臺北市政府捷運工程局第一區工程處,1416800,台灣世曦工程顧問股份有限公司,臺北市政府捷運工程局第一區工程處土木第九工務所,新亞建設開發股份有限公司,無,1130422,不預先通知,82,0,0,0,查核
11,科技大樓站停車場新建工程,臺北市停車管理工程處,808010,楊天柱建築師事務所,楊天柱建築師事務所,"登山營造股份有限公司
凡中工程股份有限公司",無,1130422,不預先通知,84,0,0,0,查核
12,112年度港墘區民活動中心改善空間工程案,臺北市內湖區公所,4390,亞源建築師事務所,亞源建築師事務所,森騰營造股份有限公司,無,1130422,不預先通知,77,0,0,0,查核
13,112-114年西區分支管污水管渠設施檢視修繕及延壽統包工程,臺北市政府工務局衛生下水道工程處,138830,恆康工程顧問股份有限公司,桔源工程顧問有限公司,神緯營造有限公司,無,1130423,不預先通知,84,0,0,0,查核
14,磺港溪再造C段護岸及步道整建工程（三合橋至奇岩抽水站）,臺北市政府工務局水利工程處,257600,禾拓規劃設計顧問有限公司,任泰技術顧問有限公司,瑞健營造有限公司,無,1130424,不預先通知,83,0,0,0,查核
15,112年度軍墓園區水土保持設施工程,臺北市政府工務局大地工程處,60854,銘美工程技術顧問有限公司,銘美工程技術顧問有限公司,協翔營造工程股份有限公司,無,1130424,不預先通知,85,0,0,0,查核
16,臺北市文山區興隆社會住宅I區新建工程,臺北市政府都市發展局,2420000,許伯元建築師事務所,許伯元建築師事務所,新亞建設開發股份有限公司,無,1130424,不預先通知,82,0,0,0,查核
17,南港立體連通平臺及其附屬綠化設施統包工程,臺北市政府工務局新建工程處,412000,"安倉營造股份有限公司
黃明威建築師事務所",林同棪工程顧問股份有限公司,安倉營造股份有限公司,林同棪工程顧問股份有限公司,1130426,不預先通知,87,0,0,0,查核
18,臺北市歷史建築草山派出所修復工程,,25980,徐裕健建築師事務所,徐裕健建築師事務所,笙原營造有限公司,無,1130426,不預先通知,80,0,0,0,查核
19,112西區管網幹管優化工程,臺北自來水事業處西區營業分處,38650,臺北自來水事業處,臺北自來水事業處西區營業分處,旭昌展業有限公司,無,1130429,不預先通知,83,0,0,0,查核
20,北投市場整修統包工程(含中繼市場),臺北市市場處,420390,創構建築師事務所,綠野國際建築師事務所,"見安營造股份有限公司
穎達冷凍空調工程有限公司
創構建築師事務所",綠野國際建築師事務所,1130429,不預先通知,80,0,0,0,查核
21,磺港溪再造C段護岸及步道整建工程（延壽橋至三合橋）,臺北市政府工務局水利工程處,324912,禾拓規劃設計顧問有限公司,任泰技術顧問有限公司,上溢營造股份有限公司,無,1130506,不預先通知,82,0,0,0,查核
22,代辦臺北市市場處所屬公有環南市場改建工程主體工程,臺北市政府工務局水利工程處,5500000,啟達聯合建築師事務所,啟達聯合建築師事務所,"皇昌營造股份有限公司
中華電信股份有限公司企業客戶分公司",無,1130509,不預先通知,86,0,0,0,查核
23,112年度收容動物複合式活動場更新工程,臺北市立動物園,4200,協禾整合顧問有限公司,協禾整合顧問有限公司,李季開發有限公司,無,1130510,不預先通知,81,0,0,0,查核
24,113年度大安森林公園等加強綠美化工程,臺北市政府工務局公園路燈工程管理處,14808,臺北市政府工務局公園路燈工程管理處青年公園管理所,臺北市政府工務局公園路燈工程管理處青年公園管理所,里仁園藝有限公司,無,1130510,不預先通知,82,0,0,0,查核
25,112年度臺北市主次要幹道及巷弄路線漆標線工程採購案-113年度後續擴充,臺北市交通管制工程處,3300,臺北市交通管制工程處,臺北市交通管制工程處,立新交通工程器材有限公司,無,1130516,不預先通知,81,0,0,0,查核
26,CR387A捷運信義線東延段自動收費系統工程採購案,臺北市政府捷運工程局機電系統工程處,45000,神通資訊科技股份有限公司,臺北市政府捷運工程局機電系統工程處,神通資訊科技股份有限公司,無,1130517,不預先通知,83,0,0,0,查核
27,112年臺北市汰換及增購公車候車亭工程,臺北市公共運輸處,21605,御軒工程顧問有限公司,御軒工程顧問有限公司,日昌晟有限公司,無,1130517,不預先通知,81,0,0,0,查核
28,臺北市信義區松信社會住宅新建工程,臺北市政府都市發展局,815655,張昌明建築師事務所,張昌明建築師事務所,優寶營造有限公司,無,1130520,不預先通知,83,0,0,0,查核
29,校門臨時接送區整修工程,臺北市內湖區南湖國民小學,2139,陳建志建築師事務所,陳建志建築師事務所,昇萌股份有限公司,無,1130522,不預先通知,81,0,0,0,查核
30,捷運淡水信義線高架段胸牆重置工程,臺北大眾捷運股份有限公司工務處,85500,臺北大眾捷運股份有限公司工務處土建廠,臺北大眾捷運股份有限公司工務處土建廠,大台北噪音防治股份有限公司,無,1130522,不預先通知,78,0,0,0,查核
31,?公綠廊人行環境改造工程,臺北市政府工務局新建工程處,56479,台灣世曦工程顧問股份有限公司,盛禹工程顧問有限公司,稻田營造有限公司,無,1130523,不預先通知,85,0,0,0,查核
32,112年度山坡地遊憩場域及山區道路(中山區)維護預約式工程(113年續約),臺北市政府工務局大地工程處,26350,智全工程技術顧問有限公司,智全工程技術顧問有限公司,台正營造有限公司,無,1130524,不預先通知,82,0,0,0,查核
33,113陽明A管線配合工程,臺北自來水事業處陽明營業分處,20000,臺北自來水事業處,臺北自來水事業處陽明營業分處,宇力工程有限公司,無,1130524,不預先通知,82,0,0,0,查核
34,南進門(光之走廊)鋼梁美化修繕案,臺北市立美術館,4962,黃聖吉建築師事務所,黃聖吉建築師事務所,恩凱實業有限公司,無,1130527,不預先通知,82,0,0,0,查核
35,113年度綜合大樓屋頂防水整修工程統包案,臺北市立成功高級中學,4700,程景玄建築師事務所,陳彥祥建築師事務所,台灣南海股份有限公司,無,1130528,不預先通知,82,0,0,0,查核
36,臺北市立和平高級中學教學大樓新建工程,臺北市政府工務局新建工程處,1900677,邱永章建築師事務所,邱永章建築師事務所,"三星營造股份有限公司
金鴻空調機電工程有限公司",無,1130528,不預先通知,83,0,0,0,查核
37,公館淨水場既有排水系統改善工程,臺北自來水事業處,148500,中興工程顧問股份有限公司,臺北自來水事業處工程總隊,魁隆營造股份有限公司,無,1130528,不預先通知,83,0,0,0,查核
