序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,113年度教學環境改善工程-捷運共構大樓雜項工程,臺北市萬華區東園國民小學,26880,典石聯合建築師事務所,典石聯合建築師事務所,福原營造有限公司,無,1140103,不預先通知,82,0,0,0,查核
2,歷史建築原巴旅館澡堂修復工程,臺北市政府文化局,56600,徐裕健建築師事務所,徐裕健建築師事務所,建昱營造股份有限公司,無,1140108,不預先通知,82,0,0,0,查核
3,四分溪支流暨九如綠地排水環境營造改善工程,臺北市政府工務局水利工程處,31666,經典工程顧問有限公司,晨星工程技術顧問有限公司,嘉邑營造有限公司,無,1140109,不預先通知,83,0,0,0,查核
4,萬大－中和－樹林線（第一期工程）CQ870區段標工程,臺北市政府捷運工程局第一區工程處,10580000,中興工程顧問股份有限公司,"臺北市政府捷運工程局第一區工程處土木第三工務所
臺北市政府捷運工程局第一區工程處水電環控第二工務所
臺北市政府捷運工程局機電系統工程處電(扶)梯工務所",達欣工程股份有限公司,無,1140113,不預先通知,85,0,0,0,查核
5,石潭公園遊戲場改善工程,臺北市政府工務局公園路燈工程管理處,12894,鵬程工程顧問有限公司,鵬程工程顧問有限公司,廣聯營造有限公司,無,1140114,不預先通知,82,0,0,0,查核
6,公館淨水場加壓站機電設備工程,臺北自來水事業處淨水科,339949,九典聯合建築師事務所,九典聯合建築師事務所,臺灣增澤工程股份有限公司,無,1140116,不預先通知,81,0,0,0,查核
7,成功市場改建工程,臺北市政府工務局新建工程處,678458,闕河彬建築師事務所,闕河彬建築師事務所,日富營造股份有限公司,無,1140117,不預先通知,83,0,0,0,查核
8,113-114年度交通安全改善工程,臺北市交通管制工程處,34600,御軒工程顧問有限公司,御軒工程顧問有限公司,達客利科技有限公司,無,1140120,不預先通知,82,0,0,0,查核
9,113年度臺北市山坡地農業環境改善工程,臺北市政府工務局大地工程處坡地整治科,26945,開巨技術顧問有限公司,開巨技術顧問有限公司,台正營造有限公司,無,1140121,不預先通知,82,0,0,0,查核
10,112-114年東區分支管污水管渠設施檢視修繕及延壽統包工程,臺北市政府工務局衛生下水道工程處,138830,恆康工程顧問股份有限公司,桔源工程顧問有限公司,東鑫龍營造有限公司,無,1140123,不預先通知,83,0,0,0,查核
11,113年度山區道路改善及維護工程(內寮),臺北市政府工務局大地工程處,14050,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,亞東營造股份有限公司,無,1140213,不預先通知,83,0,0,0,查核
12,113年前棟門窗改善工程,臺北市民族實驗國民中學,7966,陳俊宏建築師事務所,陳俊宏建築師事務所,星榮營造有限公司,無,1140217,不預先通知,83,0,0,0,查核
13,113年度臺北市道路、橋涵興建及改善工程開口契約（第2標）,臺北市政府工務局新建工程處,72567,恆康工程顧問股份有限公司,安笙工程顧問有限公司,稻田營造有限公司,無,1140218,不預先通知,82,0,0,0,查核
14,113-114年度臺北市標線型人行道工程,臺北市交通管制工程處,48120,臺北市交通管制工程處,玖泰交通科技有限公司,立新交通工程器材有限公司,無,1140219,不預先通知,83,0,0,0,查核
15,磺港溪壓力箱涵防淤改善工程,臺北市政府工務局水利工程處,30685,山水綜合技術顧問股份有限公司,盛禹工程顧問有限公司,志億營造股份有限公司,無,1140220,不預先通知,83,0,0,0,查核
16,113年度臺北市狗運動公園及狗活動區設施改善工程,臺北市動物保護處,2318,晨威工程顧問有限公司,晨威工程顧問有限公司,億境營造有限公司,無,1140225,不預先通知,79,0,0,0,查核
17,「113年度游泳池第2期整修工程」,臺北市立南門國民中學,3054,葉德發建築師事務所,葉德發建築師事務所,青沐工程有限公司,無,1140226,不預先通知,80,0,0,0,查核
18,景興公園新建工程,臺北市政府工務局公園路燈工程管理處,41453,開巨技術顧問有限公司,開巨技術顧問有限公司,富士山營造有限公司,無,1140227,不預先通知,86,0,0,0,查核
19,天母校區體育館屋頂防水矽膠更新工程,臺北市立大學,26217,高志榮建築師事務所,高志榮建築師事務所,昌坤營造有限公司,無,1140305,不預先通知,82,0,0,0,查核
20,113年度至114年度Ａ區職務宿舍滲漏水改善暨室內整修工程採購案,臺北市政府公務人員訓練處,32412,逸華建築師事務所,逸華建築師事務所,詠真室內裝修有限公司,無,1140310,不預先通知,82,0,0,0,查核
21,第一果菜(含堤內中繼)及萬大魚類批發市場改建統包工程,臺北市政府工務局新建工程處,12517171,中華工程股份有限公司,亞新工程顧問股份有限公司,中華工程股份有限公司,亞新工程顧問股份有限公司,1140311,不預先通知,82,0,0,0,查核
22,臺北都會區大眾捷運系統信義線東延段CR580C區段標工程,臺北市政府捷運工程局第二區工程處,4827997,"亞新工程顧問股份有限公司
中興工程顧問股份有限公司",臺北市政府捷運工程局第二區工程處土木第一工務所,"中華工程股份有限公司
日商大豐營造股份有限公司",無,1140311,不預先通知,83,0,0,0,查核
23,113年度專案路面及附屬設施更新工程(第1標)(中山、大同區),臺北市政府工務局新建工程處,85685,恆康工程顧問股份有限公司,永健工程顧問有限公司,聖東營造股份有限公司,無,1140313,不預先通知,84,0,0,0,查核
24,113年度全市抽水站附屬設備維護更新工程（第2標）,臺北市政府工務局水利工程處,39900,連昇工程技術顧問有限公司,連昇工程技術顧問有限公司,九品股份有限公司,無,1140314,不預先通知,83,0,0,0,查核
25,克強公園游泳池暨新生公園網球場改建全民運動館統包工程,臺北市政府體育局,1051829,莫國箴建築師事務所,萬邦建築師事務所,"久佳營造工程股份有限公司
和宜機電有限公司
川菱工業股份有限公司",萬邦建築師事務所,1140317,不預先通知,81,1,1,1,查核
26,舊公館淨水場加壓站外觀整修工程,臺北自來水事業處,72100,九典聯合建築師事務所,九典聯合建築師事務所,鑫大營造有限公司,無,1140319,不預先通知,83,0,0,0,查核
27,外牆拉皮防水塗料整修工程,臺北市政府青年局,15000,謝一田建築師事務所,謝一田建築師事務所,?源營造股份有限公司,無,1140319,不預先通知,81,0,0,0,查核
28,113年度花卉試驗中心所轄公園整建工程-陽明山區公園整建工程,臺北市政府工務局公園路燈工程管理處,11760,和建工程顧問股份有限公司,和建工程顧問股份有限公司,金弘營造有限公司,無,1140321,不預先通知,79,1,1,0,查核
29,112-114年西區分支管污水管渠設施檢視修繕及延壽統包工程,臺北市政府工務局衛生下水道工程處,138830,恆康工程顧問股份有限公司,桔源工程顧問有限公司,神緯營造有限公司,無,1140321,不預先通知,84,0,0,0,查核
30,113-115年臺北市污水下水道用戶補接管統包工程,臺北市政府工務局衛生下水道工程處工務科南區工務所,37266,品昱營造工程股份有限公司,鎧德工程顧問股份有限公司,品昱營造工程股份有限公司,無,1140321,不預先通知,81,0,0,0,查核
31,臺北市北投區機一基地公共住宅統包工程,臺北市政府都市發展局,1938000,大林聯合建築師事務所,廖晏瑋建築師事務所,"國記營造股份有限公司
新記機電股份有限公司
大林聯合建築師事務所",廖晏瑋建築師事務所,1140324,不預先通知,81,0,0,0,查核
32,民權大橋跨河段上部結構改建統包工程,臺北市政府工務局新建工程處,1427170,華光工程顧問股份有限公司,建業工程顧問有限公司,"春原營造股份有限公司
華光工程顧問股份有限公司",建業工程顧問有限公司,1140325,不預先通知,86,0,0,0,查核
33,113年度坡地休閒遊憩場域整建工程,臺北市政府工務局大地工程處,23800,開巨技術顧問有限公司,開巨技術顧問有限公司,協翔營造工程股份有限公司,無,1140325,不預先通知,85,0,0,0,查核
34,芝山及士林站站外地磚更新工程,臺北大眾捷運股份有限公司,18359,臺北大眾捷運股份有限公司工務處土建廠,臺北大眾捷運股份有限公司工務處土建廠,坤錠工程有限公司,無,1140325,不預先通知,80,0,0,0,查核
35,臺北都會區大眾捷運系統萬大─中和─樹林線（第一期工程）CQ850A區段標工程,臺北市政府捷運工程局第二區工程處,2945000,中興工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第四工務所,大陸工程股份有限公司,無,1140326,不預先通知,83,0,0,0,查核
36,113年度瀝青混凝土鋪面更新工程開口契約,臺北市停車管理工程處,4300,創鈺工程技術顧問有限公司,創鈺工程技術顧問有限公司,達客利科技有限公司,無,1140326,不預先通知,81,0,0,0,查核
37,113-114年度陽明山、富德及列管公墓墓區整修等工程,臺北市殯葬管理處,14760,開巨技術顧問有限公司,開巨技術顧問有限公司,傳亞營造有限公司,無,1140327,不預先通知,80,0,0,0,查核
38,行義路溫泉產業特定區公共取供設施工程,臺北自來水事業處,34500,上允工程顧問有限公司,臺北自來水事業處陽明營業分處,宇力工程有限公司,無,1140327,不預先通知,83,0,0,0,查核
39,磺港溪再造C段護岸及步道整建工程（延壽橋至三合橋）,臺北市政府工務局水利工程處,324912,禾拓規劃設計顧問有限公司,任泰技術顧問有限公司,上溢營造股份有限公司,無,1140331,不預先通知,84,0,0,0,查核
