序號,工程名稱,主辦單位,契約金額-千元,設計單位,監造單位,承造廠商,專案管理,查核日期,通知方式,評分,廠商扣點數,監造扣點數,PCM扣點數,備註
1,114年成功樓外牆修繕工程,臺北市立松山高級工農職業學校,6909,葉卿秀建築師事務所,葉卿秀建築師事務所,川沃營造有限公司,無,1150112,不預先通知,83,0,0,0,查核
2,萬興市場大樓外牆防水改善工程,臺北市文山區公所,40481,莊景富建築師事務所,莊景富建築師事務所,台灣南海股份有限公司,無,1150116,不預先通知,81,0,0,0,查核
3,114年度東北區路燈新設預約工程,臺北市政府工務局公園路燈工程管理處,37096,技嘉電機工業技師事務所,技嘉電機工業技師事務所,政函國際股份有限公司,無,1150119,不預先通知,84,0,0,0,查核
4,114陽明A管網改善工程,臺北自來水事業處陽明營業分處,48000,臺北自來水事業處,臺北自來水事業處陽明營業分處,宇力工程有限公司,無,1150120,不預先通知,84,0,0,0,查核
5,臺北市動物之家暨動保處辦公廳舍新建工程,臺北市政府工務局大地工程處,1270650,陳聖中建築師事務所,陳聖中建築師事務所,"福清營造股份有限公司
協揚科技工程股份有限公司
芫鼎電機有限公司",無,1150122,不預先通知,83,0,0,0,查核
6,臺北市政府消防局興隆分隊新建工程,臺北市政府工務局新建工程處,347000,陳文彥建築師事務所,陳文彥建築師事務所,"文昌營造工程有限公司
萬信工程有限公司
鉅鎮企業有限公司",無,1150123,不預先通知,83,0,0,0,查核
7,臺北都會區大眾捷運系統萬大-中和-樹林線（第一期工程）CQ840區段標工程,臺北市政府捷運工程局第二區工程處,5600000,台灣世曦工程顧問股份有限公司,臺北市政府捷運工程局第二區工程處土木第二工務所,大陸工程股份有限公司,無,1150123,不預先通知,85,0,0,0,查核
8,直轄市定古蹟臨沂街71巷33號日式住宅緊急搶修工程,臺北市政府文化局,4220,徐裕健建築師事務所,徐裕健建築師事務所,立璟營造股份有限公司,無,1150126,不預先通知,81,0,0,0,查核
9,臺北市中山區錦州街基地公共住宅新建工程,臺北市政府工務局新建工程處,2205000,闕河彬建築師事務所,闕河彬建築師事務所,"統營營造股份有限公司
特欣機電股份有限公司",無,1150209,不預先通知,85,0,0,0,查核
10,臺北市淡水河水岸空間環境營造工程（中山高速公路橋至跨堤景觀平臺）,臺北市政府工務局水利工程處,88260,"禾拓規劃設計顧問有限公司
邑菖工程顧問有限公司",盛禹工程顧問有限公司,松青營造有限公司,無,1150209,不預先通知,83,0,0,0,查核
11,中埔山(文景43號)公園新建工程,臺北市政府工務局公園路燈工程管理處,26832,亞柏技術顧問股份有限公司,亞柏技術顧問股份有限公司,和遠營造有限公司,無,1150211,不預先通知,84,0,0,0,查核
