查報序號,行政區,查報地點,故障情形,查報日期
11300001,北投,  臺北市北投區長安里008鄰光明路１２９號,【緊急案件】路燈電線垂落距離地面大約30公分，會影響交通。,2024-01-01T05:58:00
11300002,大安,  信義路二段86巷,上述地址與信義路二段10巷的交叉口 編號0505364與0505365的路燈都不亮，請單位前往處理 ,2024-01-01T11:01:00
11300003,松山,  105台灣台北市松山區民生東路四段56號,"【單一陳情案件】民生東路4段56巷3弄17號
路燈不亮，煩請處理，謝謝。",2024-01-01T11:17:00
11300004,文山,  臺北市文山區萬有里015鄰羅斯福路六段１５３號,【緊急案件】路燈編號0704350， 下面路燈的蓋子沒蓋好電線外露，怕下雨天有漏電的危險,2024-01-01T16:02:00
11300005,內湖,新明路498巷26號對面公園外面,"路燈失明
4失",2024-01-01T16:35:00
11300006,信義,  臺北市信義區嘉興里012鄰嘉興街１７５巷２弄１６號,上述地點與嘉興街175巷2弄14號之間有一盞路燈不亮(路燈桿編號:0604225、路燈底座編號:282)，敬請相關單位修復。,2024-01-01T17:23:00
11300007,北投,  臺北市北投區立農里007鄰吉利街１９７號,上述地點前方有一支路燈晚上不亮，且原先亮燈時間也比其他路燈晚，疑似故障，請單位查明修復。,2024-01-01T18:15:00
11300008,士林,新安路8-巷至30巷,"路燈失明
失明",2024-01-01T18:19:00
11300009,信義,  臺北市信義區泰和里002鄰松仁路２９７號,上述地點前方有1盞路燈故障不亮，敬請儘快派員到場勘查修復。,2024-01-01T19:01:00
11300010,中正,  臺北市中正區富水里006鄰永春街２１２巷１７弄１號,編號1004914路燈多日不亮,2024-01-01T19:03:00
11300011,萬華,華中河濱公園(西)-284,"路燈失明
",2024-01-01T19:41:00
11300012,士林,"新安里
仰德大道三段106巷23號旁路燈不亮，請相關單位派員維修，謝謝！","路燈失明
",2024-01-01T20:50:00
11300013,中山,迎風河濱公園(東)-085,"忽明忽滅
路燈不斷閃爍",2024-01-01T21:04:00
11300014,士林,  永公路245巷11弄,與43弄處附近多個路燈不亮,2024-01-01T21:06:00
11300015,中山,林森北路159巷,"路燈失明
全巷路燈不亮",2024-01-01T21:04:00
11300016,士林,  德行西路-中山北路六段,上述地點有3盞路燈晚上不亮(編號：1106454、1106455、1106456)，請單位查明修復。,2024-01-01T22:21:00
11300017,中山,  大直橋,靠近上述橋梁的迎風河濱公園內河岸邊，有1盞路燈會一直閃爍（路燈編號：迎風070），敬請儘快派員勘查修復。,2024-01-01T22:51:00
11300018,士林,  TPE臺北市士林區福佳里士商路137號,【單一陳情案件】人行道路燈脫落,2024-01-01T22:54:00
11300019,士林,  TPE臺北市士林區後港里承德路五段,【單一陳情案件】路燈(號碼1112041）掉落，遭車輛AHU-6690擊落,2024-01-02T04:01:00
11300020,大安,  台北市大安區龍淵里辛亥路二段131巷3號,【單一陳情案件】路燈#0503427故障,2024-01-02T05:58:00
11300021,文山,指南路三段33巷64號,"路燈失明
指南路三段33巷64號，後方階梯(0708291)1盞失明",2024-01-02T08:31:00
11300022,南港,  南港山系-虎山親山步道，參考地址：福德街２５１巷３８號,"路燈上顯示的:綠色110，0400939
上述地點從松山慈惠堂往虎山的方向走大概半個小時左右，在南港山跟虎山的交界處，有路燈不亮，請相關單位派員前往檢修。",2024-01-02T10:09:00
11300023,中山,龍江路120巷3號前-桿號073,"其他
0103493,線路外罩掉地上",2024-01-02T10:56:00
11300024,文山,興德路41號,"路燈失明
路燈失明，請修繕！",2024-01-02T13:13:00
11300025,內湖,"環山路一段25號右(第02支)(本通) 共有三盞燈是壞的，再麻煩協助處理謝謝0300479,0300480,0300808","路燈失明
",2024-01-02T13:38:00
11300026,士林,  臺北市士林區天壽里009鄰中山北路六段４０５巷４８號,上述地點前方，一盞路燈已經3天不亮，請單位儘快檢修,2024-01-02T14:31:00
11300027,信義,永春陂生態濕地公園 矮柱燈失明,"路燈失明
永春陂生態濕地公園 矮柱燈失明",2024-01-02T14:33:00
11300035,北投,  向陽綠地,"
綠地周圍路燈不亮，請單位派員處理",2024-01-02T16:39:00
